Type,Addr,Register Description
U8,2348,The duty cycle of Timer 2 assigned as PWM signal for LDO IR button 2 (determine the sensitivity of button 2) (0 ~ 99)
U8,2349,The duty cycle of Timer 2 assigned as PWM signal for LDO IR button 3 (determine the sensitivity of button 3) (0 ~ 99)
U8,2350,"The duty cycle of PWM signal, generated from internal MAX6967, for LDO red status LED (determine the intensity of red LED) (0 ~ 99)"
U8,2351,"The duty cycle of PWM signal, generated from internal MAX6967, for LDO yellow status LED (determine the intensity of yellow LED) (0 ~ 99)"
U8,2352,"The duty cycle of PWM signal, generated from internal MAX6967, for LDO green status LED (determine the intensity of green LED) (0 ~ 99)"
U16,2353,PWM signal frequency for LDO IR buttons (0 ~ 20000)
U8,2355,LDO screen flag
U8,2356,"LDO button type (IR=0, Touch=1)"
U8,2357,"LDO display driver type (TRULY=0, AVD=1)"
U16,2358,Oil Density Scaled Integer (scale factor is 10000)
U16,2359,Water Density Scaled Integer (scale factor is 10000)
U16,2360,"Dynamic Drive Control (0=Drive off, 1=Dyn Drive On, 2=Standard Drive) "
F32,2361,Absolute Max Allowed Drive Current (Ceiling)
F32,2363,Absolute Min Allowed Drive Current (Floor)
F32,2365,Undefined
F32,2367,Calculated Dynamic Max Drive Current (without limits)
F32,2369,Calibration Point 1 Vg Voltage
F32,2371,Calibration Point 1 I_output Current
F32,2373,Calibration Point 2 Vg Voltage
F32,2375,Calibration Point 2 I_output Current
F32,2377,Calculated Loop Resistance
F32,2379,Calculated Supply Voltage
F32,2381,Calculated Predicted Vg Voltage
F32,2383,Dynamically Controlled Max Output Drive Current (Actual with limits applied)
U16,2478,AOC Flow Rate Samples
F32,2479,AOC Averaged Flow Rate
F32,2481,Variance of  AOC Training Values for Secondary Fill
F32,2483,Variance of AOC Training Values
U16,2485,Alarm Occurred During Transfer (ETO 14416)
U16,2486,Rotary Switch Setting (Profibus Address)
U16,2487,Precision DO 1 Fixed Value
U16,2488,Precision DO 2 Fixed Value
U16,2489,Precision DO 1 Source (110 - Primary Valve only)
U16,2490,"Precision DO 1 Polarity  (0 = active low, 1 = active high)"
U16,2491,Precision DO 2 Source (109 - Pump or 111 - Secondary Valve)
U16,2492,"Precision DO 2 Polarity (0 = active low, 1 = active high)"
F32,2493,Pump to Valve Delay Time (in seconds)
U16,2495,Bit #0 – Primary Fill In Progress
U16,2496,Bit #0 – Fill Start Not Okay
U16,2497,"Fill AOC Convergence Rate (1 = Normal, 2 = Slow)"
U16,2498,Fill Log Index (n=0 to 1000)
F32,2499,Fill Log Valuen
F32,2501,Average of Secondary Fill Totals
F32,2503,Variance of Secondary Fill Totals
F32,2505,Discrete Batcher: Percent Fill
F32,2507,Discrete Batcher: AOC Change Limit
F32,2509,Analog Valve Set Point
F32,2511,Analog Valve Open Full
F32,2513,Analog Valve Close Partial
F32,2515,Fixed AOC Valve
F32,2517,Discrete Batch Close Secondary
F32,2519,Average of Batch Totals
F32,2521,Variance of Batch Totals
F32,2523,Discrete Batcher: Secondary AOC Value for Dual Fill
U16,2525,Analog Valve Number of Stages (1 or 2)
U16,2526,"Batch State (0=Idle, 1=Running, 2=Paused)"
U16,2526,Bit #0 – Batch In Progress
F32,2527,"Analog Valve Closed Value (in mA, 0.0 to 4.0)"
A32,2529,Fieldbus Device ID
A32,2545,Profibus Device Order Number
U8,2555,"HART Universal Mode (5=HART5, 7=HART7)"
U8,2556,HART 7 Lock Device Status
U8,2557,HART 7 Burst Message Index (0-2)
U8,2558,HART 7 Burst Message Control (indexed)
U16,2559,HART 7 Burst Message Command (indexed)
U8,2560,HART 7 Burst Message Trigger Mode (indexed)
F32,2561,HART 7 Burst Message Trigger Value (indexed)
U32,2563,HART 7 Burst Message Update Time (indexed)
U32,2565,HART 7 Burst Message Max Update Time (indexed)
U8,2567,HART 7 Burst Message Variable 0 (indexed)
U8,2568,HART 7 Burst Message Variable 1 (indexed)
U8,2569,HART 7 Burst Message Variable 2 (indexed)
U8,2570,HART 7 Burst Message Variable 3 (indexed)
U8,2571,HART 7 Burst Message Variable 4 (indexed)
U8,2572,HART 7 Burst Message Variable 5 (indexed)
U8,2573,HART 7 Burst Message Variable 6 (indexed)
U8,2574,HART 7 Burst Message Variable 7 (indexed)
U8,2576,HART 7 Event Notify Control
U32,2577,HART 7 Event Notify Retry Time
U32,2579,HART 7 Event Notify Max Update Time
U32,2581,HART 7 Event Notify Debounce Time
U8,2583,HART 7 Event Notify Device Status Mask
A25,2584,HART 7 Event Notify Event Status Mask
U16,2597,"Configuration Change Counter (incremented for all config writes through any interface (i.e. HART, Modbus, Local Display, etc)"
U32,2598,Unique Hart ID of last connected puck.
U16,2600,Core Processor Software Version Number (xxx.xx format – 421 means rev 4.21)
U16,2601,Gas standard volume flow unit (see gas standard volume flow unit codes)
U16,2602,Gas standard volume total/inv unit (derived from the GSV flow unit)
U16,2603,Base gas standard volume unit
U16,2604,Base time unit for special gas standard volume unit
F32,2605,Special gas standard volume unit conversion factor
A8,2607,Special gas standard volume flow unit string
A8,2611,Special gas standard volume total (or inventory) unit string
U16,2615,Discrete Output 1 Fault Indication (refer to discrete output fault codes)
U16,2616,Discrete Output 2 Fault Indication (refer to discrete output fault codes)
U16,2617,Discrete Output 3 Fault Indication (refer to discrete output fault codes)
U16,2618,Discrete Output 4 Fault Indication (refer to discrete output fault codes)
U16,2619,Totalizer Reset Option for Custody Transfer (see Reset Option codes)
U16,2620,"Bell-202 HART Loop Current Mode (0=Disabled, 1=Enabled)"
U16,2621,"Display update period (milliseconds) - The range for Gen5 is (100 - 10,000 ms)"
U16,2622,Backlight intensity (0=off to 63=full on)
U16,2623,Acknowledge alarm (write alarm index to acknowledge the alarm)
U16,2624,"LED Status (1=green, 2=red, 3=yellow, add 4 if flashing)"
U32,2625,Power-on time (seconds since last reset)
U16,2627,Alarm Log History Index (n=0 to 49)
U16,2628,"Alarmn Number (1=A1, etc.) [Array in Neptune]"
U16,2629,"Alarmn Status Change (1=posted, 2=cleared) [Array in Neptune]"
U32,2631,Alarmn Timestamp of status change (power-on time in seconds)
U16,2633,Alarm Status A0-A7
U16,2634,Alarm Status A8-A15
U16,2635,Alarm Status A16-A23
U16,2636,Alarm Status A24-A31
U16,2637,Alarm Status A32-A39
U16,2638,Alarm Status A100-A107
U16,2639,Alarm Status A108-A115
U16,2640,Alarm Status A116-A123
U16,2641,Alarm Status A124-A131
U16,2642,Alarm Status A132-A139
U16,2643,Alarm Status A140-A147
U16,2644,Alarm Status A148-A155 (reserved for future use)
U16,2645,Alarm Status A156-A163 (reserved for future use)
U16,2646,Alarm Status A164-A171 (reserved for future use)
U16,2647,Alarm Status A172-179 (reserved for future use)
F32,2659,Previous Auto Zero  (doesn't survive a power cycle)
U16,2661,Bit #0 – Xmtr EEPROM Checksum Error (A18)
U16,2662,Bit #0 – Undefined
U16,2663,"LOI Button Simulation (0=Neither, 1=Scroll, 2=Select, 3=Both)"
U16,2664,Scratchpad Offset (0 to 255)
F32,2673,Factory flow signal offset at zero flow  (units of uSec)
U16,2675,Slot 0 Configuration Array Dim1 Index
U16,2676,Slot 1 Configuration Array Dim1 Index
U16,2677,Slot 2 Configuration Array Dim1 Index
U16,2678,Slot 3 Configuration Array Dim1 Index
U16,2679,Slot 4 Configuration Array Dim1 Index
U16,2680,Slot 5 Configuration Array Dim1 Index
U16,2681,Slot 6 Configuration Array Dim1 Index
U16,2682,Slot 7 Configuration Array Dim1 Index
U16,2683,Slot 8 Configuration Array Dim1 Index
U16,2684,Slot 9 Configuration Array Dim1 Index
U16,2685,Slot 10 Configuration Array Dim1 Index
U16,2686,Slot 11 Configuration Array Dim1 Index
U16,2687,Slot 12 Configuration Array Dim1 Index
U16,2688,Slot 13 Configuration Array Dim1 Index
U16,2689,Slot 14 Configuration Array Dim1 Index
U16,2690,Slot 15 Configuration Array Dim1 Index
U16,2691,Slot 16 Configuration Array Dim1 Index
U16,2692,Slot 17 Configuration Array Dim1 Index
U16,2693,Slot 18 Configuration Array Dim1 Index
U16,2694,Slot 19 Configuration Array Dim1 Index
U16,2695,Slot 20 Configuration Array Dim1 Index
U16,2696,Slot 21 Configuration Array Dim1 Index
U16,2697,Slot 22 Configuration Array Dim1 Index
U16,2698,Slot 23 Configuration Array Dim1 Index
U16,2699,Slot 24 Configuration Array Dim1 Index
U16,2700,Slot 25 Configuration Array Dim1 Index
U16,2701,Slot 26 Configuration Array Dim1 Index
U16,2702,Slot 27 Configuration Array Dim1 Index
U16,2703,Slot 28 Configuration Array Dim1 Index
U16,2704,Slot 29 Configuration Array Dim1 Index
U16,2705,Slot 30 Configuration Array Dim1 Index
U16,2706,Slot 31 Configuration Array Dim1 Index
U16,2707,Slot 0 Configuration Array Dim2 Index
U16,2708,Slot 1 Configuration Array Dim2 Index
U16,2709,Slot 2 Configuration Array Dim2 Index
U16,2710,Slot 3 Configuration Array Dim2 Index
U16,2711,Slot 4 Configuration Array Dim2 Index
U16,2712,Slot 5 Configuration Array Dim2 Index
U16,2713,Slot 6 Configuration Array Dim2 Index
U16,2714,Slot 7 Configuration Array Dim2 Index
U16,2715,Slot 8 Configuration Array Dim2 Index
U16,2716,Slot 9 Configuration Array Dim2 Index
U16,2717,Slot 10 Configuration Array Dim2 Index
U16,2718,Slot 11 Configuration Array Dim2 Index
U16,2719,Slot 12 Configuration Array Dim2 Index
U16,2720,Slot 13 Configuration Array Dim2 Index
U16,2721,Slot 14 Configuration Array Dim2 Index
U16,2722,Slot 15 Configuration Array Dim2 Index
U16,2723,Slot 16 Configuration Array Dim2 Index
U16,2724,Slot 17 Configuration Array Dim2 Index
U16,2725,Slot 18 Configuration Array Dim2 Index
U16,2726,Slot 19 Configuration Array Dim2 Index
U16,2727,Slot 20 Configuration Array Dim2 Index
U16,2728,Slot 21 Configuration Array Dim2 Index
U16,2729,Slot 22 Configuration Array Dim2 Index
U16,2730,Slot 23 Configuration Array Dim2 Index
U16,2731,Slot 24 Configuration Array Dim2 Index
U16,2732,Slot 25 Configuration Array Dim2 Index
U16,2733,Slot 26 Configuration Array Dim2 Index
U16,2734,Slot 27 Configuration Array Dim2 Index
U16,2735,Slot 28 Configuration Array Dim2 Index
U16,2736,Slot 29 Configuration Array Dim2 Index
U16,2737,Slot 30 Configuration Array Dim2 Index
U16,2738,Slot 31 Configuration Array Dim2 Index
U16,2739,Slot 0 Configuration Array Dim3 Index
U16,2740,Slot 1 Configuration Array Dim3 Index
U16,2741,Slot 2 Configuration Array Dim3 Index
U16,2742,Slot 3 Configuration Array Dim3 Index
U16,2743,Slot 4 Configuration Array Dim3 Index
U16,2744,Slot 5 Configuration Array Dim3 Index
U16,2745,Slot 6 Configuration Array Dim3 Index
U16,2746,Slot 7 Configuration Array Dim3 Index
U16,2747,Slot 8 Configuration Array Dim3 Index
U16,2748,Slot 9 Configuration Array Dim3 Index
U16,2749,Slot 10 Configuration Array Dim3 Index
U16,2750,Slot 11 Configuration Array Dim3 Index
U16,2751,Slot 12 Configuration Array Dim3 Index
U16,2752,Slot 13 Configuration Array Dim3 Index
U16,2753,Slot 14 Configuration Array Dim3 Index
U16,2754,Slot 15 Configuration Array Dim3 Index
U16,2755,Slot 16 Configuration Array Dim3 Index
U16,2756,Slot 17 Configuration Array Dim3 Index
U16,2757,Slot 18 Configuration Array Dim3 Index
U16,2758,Slot 19 Configuration Array Dim3 Index
U16,2759,Slot 20 Configuration Array Dim3 Index
U16,2760,Slot 21 Configuration Array Dim3 Index
U16,2761,Slot 22 Configuration Array Dim3 Index
U16,2762,Slot 23 Configuration Array Dim3 Index
U16,2763,Slot 24 Configuration Array Dim3 Index
U16,2764,Slot 25 Configuration Array Dim3 Index
U16,2765,Slot 26 Configuration Array Dim3 Index
U16,2766,Slot 27 Configuration Array Dim3 Index
U16,2767,Slot 28 Configuration Array Dim3 Index
U16,2768,Slot 29 Configuration Array Dim3 Index
U16,2769,Slot 30 Configuration Array Dim3 Index
U16,2770,Slot 31 Configuration Array Dim3 Index
A12,2771,Original Curven Name of Curve
A12,2777,Extended Curven Name of Curve
F32,2783,Curven  Special Density at ConcentrationY (at Ref Temp)
F32,2785,Curven  SD Coeff at ConcentrationY (at Ref Temp)
U16,2787,Curven Special Density Units Code
U16,2788,Curven Enable Special Density Curve (1=Enabled)
A8,2789,Curven Special Density Units Text
F32,2793,User Defined SGU of Solid (ETO10598)
U16,2795,Batch Fast Fill AOC Rate Method
F32,2797,Flow Verification Zero
U16,2799,DDC Global Trigger Status
U16,2800,"DDC Trigger Index  ( 0-7 valid, Triggers 0-2 are predefined and read-only)"
U16,2801,"DDC Trigger Status (0=Insuff. Memory, 1=Awaiting, 2=Complete, 3=Complete And Awaiting, 4=In Progress)"
U16,2802,"DDC Trigger Once (0=No, 1=Only Once)"
U16,2803,DDC Trigger “A” Event Code
U16,2804,"DDC Trigger operator (0=AND, 1=OR)"
U16,2805,DDC Trigger “B” Event Code
U16,2806,"DDC Storage Rate (units of 0.01 Sec,  Max= 655.35 Sec)"
U16,2807,DDC # of Samples in buffer
U16,2808,"DDC Trigger A PV Code (if applicable, otherwise ‘None’)"
U16,2809,"DDC Trigger B PV Code (if applicable, otherwise ‘None’)"
U16,2810,"DDC % After Trigger ( units of 1%, values of 0-100 are valid)"
F32,2811,"DDC Trigger A PV Value (for trigger event codes 0 & 1, units per 2808) "
F32,2813,"DDC Trigger B PV Value  (for trigger event codes 0 & 1, units per 2809)"
U32,2815,"DDC Trigger A Value (for trigger codes 2,3, and 8)  "
U32,2817,"DDC Trigger B Value (for trigger codes 2,3, and 8)"
U16,2819,DDC Trigger Estimated Size
U16,2820,Sample Number being stored
U32,2821,DDC Trigger Data Storage Started At X time since last power-up 
F32,2823,DDC Trigger Compression  (NAN if no data in trigger buffer) 
U32,2825,DDC Total Available Memory For All Trigger Buffers 
U32,2827,"DDC Free Buffer Memory, not yet used by Trigger Buffers "
F32,2829,DDC Estimated Compression (used for all triggers) 
U16,2831,DDC Trigger Storage Type Index  ( 0 to 31 )
U16,2832,"DDC Trigger Storage Type Value  (PV codes are valid, indexed on 2815)"
U16,2833,"DDC Trigger Count of Triggered Events (reset when ""1"" is written to 2801)"
U16,2834,Trigger Buffer Sample Number Index (Buffer is not random access!)
U32,2835,Trigger Buffer Value for Status Word 419/420 (Indexed on 2834)
U32,2837,Trigger Buffer Value for Status Word 421/422 (Indexed on 2834)
U32,2839,Trigger Buffer Value for Status Word 423/424 (Indexed on 2834)
U32,2841,Trigger Buffer Value for Status Word 433/434 (Indexed on 2834)
U16,2907,Config Total #1 (Mass Total Default) Direction Config Register
U16,2908,Config Total #2 (Vol Total Default) Direction Config Register
U16,2909,Config Total #3 (API Vol Total Default) Direction Config Register
U16,2910,Config Total #4 (GSV Total Default) Direction Config Register
U16,2911,Config Total #5 (ED Std Vol Total Default) Direction Config Register
U16,2912,Config Total #6 (ED Net Mass Total Default) Direction Config Register
U16,2913,Config Total #7 (ED Net Vol Total Default) Direction Config Register
U16,2914,Config Inv #1 (Mass Inv Default) Direction Config Register
U16,2915,Config Inv #2 (Vol Inv Default) Direction Config Register
U16,2916,Config Inv #3 (API Vol Inv Default) Direction Config Register
U16,2917,Config Inv #4 (GSV Inv Default) Direction Config Register
U16,2918,Config Inv #5 (ED Std Vol Inv Default) Direction Config Register
U16,2919,Config Inv #6 (ED Net Mass Inv Default) Direction Config Register
U16,2920,Config Inv #7 (ED Net Vol Inv Default) Direction Config Register
U16,2921,Config Total #1 Source Config Register
U16,2922,Config Total #2 Source Config Register
U16,2923,Config Total #3 Source Config Register
U16,2924,Config Total #4 Source Config Register
U16,2925,Config Total #5 Source Config Register
U16,2926,Config Total #6 Source Config Register
U16,2927,Config Total #7 Source Config Register
U16,2928,Config Inv #1 Source Config Register
U16,2929,Config Inv #2 Source Config Register
U16,2930,Config Inv #3 Source Config Register
U16,2931,Config Inv #4 Source Config Register
U16,2932,Config Inv #5 Source Config Register
U16,2933,Config Inv #6 Source Config Register
U16,2934,Config Inv #7 Source Config Register
U16,2935,Config Total #1 Units Code Register
U16,2936,Config Total #2 Units Code Register
U16,2937,Config Total #3 Units Code Register
U16,2938,Config Total #4 Units Code Register
U16,2939,Config Total #5 Units Code Register
U16,2940,Config Total #6 Units Code Register
U16,2941,Config Total #7 Units Code Register
U16,2942,Config Inv #1 Units Code Register
U16,2943,Config Inv #2 Units Code Register
U16,2944,Config Inv #3 Units Code Register
U16,2945,Config Inv #4 Units Code Register
U16,2946,Config Inv #5 Units Code Register
U16,2947,Config Inv #6 Units Code Register
U16,2948,Config Inv #7 Units Code Register
U16,2949,Alternate Mass Total Units  (See allowable total units codes)
A12,2950,Original Active Curve Name of Curve
A12,2956,Extended Active Curve Name of Curve
U16,2962,Active Curve Special Density Units Code
A8,2963,Active Curve Special Density Units Text
U16,2967,Active Curve Concentration Code
A8,2968,Active Curve Special Concentration Text
U16,2972,Output Channel D Type Assignment (refer to output type codes) 
U16,2973,Output Channel E Type Assignment (refer to output type codes) 
U16,2974,Output Channel F Type Assignment (refer to output type codes)
U16,2975,Output Channel G Type Assignment (refer to output type codes)
U16,2976,Output Channel H Type Assignment (refer to output type codes)
U16,2977,Channel D Power (refer to power source codes)
U16,2978,Channel E Power (refer to power source codes) 
U16,2979,Channel F Power (refer to power source codes) 
U16,2980,Channel G Power (refer to power source codes) 
U16,2981,Channel H Power (refer to power source codes) 
U16,2984,"FCF Datalog Index (0-19, 0 = most recent run)"
U16,2985,FCF Datalog Item 1: Run Number
U16,2986,"FCF Datalog Item 5: Status (Bit7 = FCF pass/fail, Bits6-4 = state, Bits3-0 = Abort code) Abort States are compressed to fit in 3 bits"
U32,2987,FCF Datalog Item 2: Time Initiated (in running seconds)
F32,2989,FCF Datalog Item 3: LPO Normalized Data
F32,2991,FCF Datalog Item 4: RPO Normalized Data
F32,2993,MV Timers: Time Until First Run in Hours
F32,2995,MV Timers: Time between each run after the first run initiated in hours
F32,2997,MV Timers: Time left until next run in hours
U16,3000,Enable FCF Verification (See FCF Enable Codes) 
U16,3001,Algorithm State (1 through 18)
U16,3002,Abort Code
U16,3003,State at Abort
U16,3004,Stiffness out of limits LPO
U16,3005,Stiffness out of limits RPO
U16,3006,Damping out of limits
U16,3007,Mass out of limits LPO
U16,3008,Mass out of limits RPO
U16,3009,Resonant Frequency Estimate out of limits 
U16,3010,Drive current out of limits 
U16,3011,Delta t out of limits
U16,3012,Temperature out of limits 
U16,3013,Density out of limits
U16,3014,Drive frequency out of limits 
U16,3015,LPO filter out of limits 
U16,3016,RPO filter out of limits 
U16,3017,FCF Validation Counter
U16,3019,Sensor Type (See Sensor Type Codes) (700 is limited)
U16,3020,Progress (% Complete)
F32,3021,"FRF Coeff – T1, LPO, Real"
F32,3023,"FRF Coeff – T1, LPO, Imag"
F32,3025,"FRF Coeff – T2, LPO, Real"
F32,3027,"FRF Coeff – T2, LPO, Imag"
F32,3029,"FRF Coeff – T3, LPO, Real"
F32,3031,"FRF Coeff – T3, LPO, Imag"
F32,3033,"FRF Coeff – T4, LPO, Real"
F32,3035,"FRF Coeff – T4, LPO, Imag"
F32,3037,"FRF Coeff – Dr, LPO, Real"
F32,3039,"FRF Coeff – Dr, LPO, Imag"
F32,3041,"FRF Coeff – T1, RPO, Real"
F32,3043,"FRF Coeff – T1, RPO, Imag"
F32,3045,"FRF Coeff – T2, RPO, Real"
F32,3047,"FRF Coeff – T2, RPO, Imag"
F32,3049,"FRF Coeff – T3, RPO, Real"
F32,3051,"FRF Coeff – T3, RPO, Imag"
F32,3053,"FRF Coeff – T4, RPO, Real"
F32,3055,"FRF Coeff – T4, RPO, Imag"
F32,3057,"FRF Coeff – Dr, RPO, Real"
F32,3059,"FRF Coeff – Dr, RPO, Imag"
F32,3061,Test Tone 1 Frequency
F32,3063,Test Tone 2 Frequency
F32,3065,Test Tone 3 Frequency
F32,3067,Test Tone 4 Frequency
F32,3069,Carrier Frequency
F32,3071,"Pole, Real"
F32,3073,"Pole, Imag"
F32,3075,"Residue, LPO, Real"
F32,3077,"Residue, LPO, Imag"
F32,3079,"Residue, RPO, Real"
F32,3081,"Residue, RPO, Imag"
F32,3083,Frf Tone Level (mA) 
F32,3085,Tone Ramp Time (Seconds)
F32,3087,BL Coef. 1
F32,3089,FRF Drive Target
F32,3091,FRF Drive P Coefficient
U16,3093,"Output state during FCF Verification (0=Last Value, 1=Fault)"
F32,3094,
U16,3096,"Override Meter Verification sensor parameteters - when set to 1, causes registers 3083, 3085, 3087, 3089, 3094, 3159, 3161, 3163 to be RW; when 0, causes them to be RO"
U16,3099,"Update FRF Statistics (0=Do not update running stats, 1=Update)"
U16,3100,FCF Verification Data Set Selection (see FCF Data Set Codes Table)
F32,3101,Stiffness LPO
F32,3103,Stiffness RPO
F32,3105,Damping
F32,3107,Mass LPO
F32,3109,Mass RPO
F32,3111,Resonant Frequency Estimate
F32,3113,Drive Current
F32,3115,Delta T
F32,3117,Temperature
F32,3119,Density
F32,3121,Drive Frequency
F32,3123,LPO Filter
F32,3125,RPO Filter
F32,3127,"Amp Calibration, Drive Tone, Real"
F32,3129,"Amp Calibration, Drive Tone, Imaginary"
F32,3131,"Amp Calibration, Test Tone 1, Real"
F32,3133,"Amp Calibration, Test Tone 1, Imaginary"
F32,3135,"Amp Calibration, Test Tone 2, Real"
F32,3137,"Amp Calibration, Test Tone 2, Imaginary"
F32,3139,"Amp Calibration, Test Tone 3, Real"
F32,3141,"Amp Calibration, Test Tone 3, Imaginary"
F32,3143,"Amp Calibration, Test Tone 4, Real"
F32,3145,"Amp Calibration, Test Tone 4, Imaginary"
F32,3147,Stiffness Limit Set point
F32,3149,Mass Limit Set point
F32,3151,Damping Limit Set point
F32,3153,Res. Frequency Limit Set point
F32,3155,Tube Frequency during meter verification
F32,3157,Delta T during meter verification
F32,3159,Tone Spacing Multiplier
F32,3161,Frequency Drift Limit
F32,3163,Max Sensor Current 
F32,3165,KFQ2 Linear Density Correction for Stiffness Value
U16,3167,Unused
U16,3171,"Mass Flow waveform selection (1=fixed value, 2=sawtooth, 3=sine wave)"
U16,3172,"Line Temperature waveform selection (1=fixed value, 2=sawtooth, 3=sine)"
U16,3173,"Density waveform selection (1=fixed value, 2=sawtooth, 3=sine wave)"
U16,3174,"Viscosity waveform selection (1=fixed value, 2=sawtooth, 3=sine wave)"
F32,3175,Value for a fixed mass flow in  simulation mode
F32,3177,Min. amplitude of Sine / Sawtooth wave for mass flow
F32,3179,Max. amplitude of Sine / Sawtooth wave for mass flow
F32,3181,Period of Sine / Sawtooth wave for mass flow
F32,3183,Value for a fixed Line Temperature in  simulation mode
F32,3185,Min. amplitude of Sine / Sawtooth wave for Line Temperature.
F32,3187,Max. Amplitude of Sine / Sawtooth wave for Line Temperature.
F32,3189,Period of Sine / Sawtooth wave for Line Temperature.
F32,3191,Value for a fixed Density in  simulation mode
F32,3193,Min. amplitude of Sine / Sawtooth wave for Density.
F32,3195,Max. Amplitude of Sine / Sawtooth wave for Density.
F32,3197,Period of Sine / Sawtooth wave for Density.
A22,3199,Frequency Input Total Label
A16,3199,SG Calibration 1 Label
F32,3201,Flow Rate 1 for Highly Characterized Sensor Linearization
F32,3203,Flow Rate 2 for Highly Characterized Sensor Linearization
F32,3205,Flow Rate 3 for Highly Characterized Sensor Linearization
F32,3207,Flow Rate 4 for Highly Characterized Sensor Linearization
F32,3209,Alarm Above Flow Rate for Highly Characterized Sensor Linearization
A22,3210,Frequency Input Inventory Label
A16,3210,SG Calibration 2 Label
F32,3218,Gas Purity Concentration (curve 2)
F32,3211,Adjustment for Segment 1 for Highly Characterized Sensor Linearization
F32,3213,Adjustment for Segment  2 for Highly Characterized Sensor Linearization
F32,3215,Adjustment for Segment  3 for Highly Characterized Sensor Linearization
F32,3217,Adjustment for Segment  4 for Highly Characterized Sensor Linearization
F32,3219,Lock Zero for Highly Characterized Sensor Linearization
F32,3221,Currently Applied Correction for Highly Characterized Sensor Linearization
A22,3221,Mass Total Label
A16,3221,SG Calibration 3 Label
F32,3223,10 Point Linearization Flow Rate 1
F32,3225,10 Point Linearization Flow Rate 2
F32,3227,10 Point Linearization Flow Rate 3
F32,3229,10 Point Linearization Flow Rate 4
F32,3229,Gas Purity Concentration (curve 3)
A22,3232,Mass Inventory Label
A16,3232,SG Calibration 4 Label
F32,3231,10 Point Linearization Flow Rate 5
F32,3233,10 Point Linearization Flow Rate 6
F32,3235,10 Point Linearization Flow Rate 7
F32,3237,10 Point Linearization Flow Rate 8
F32,3239,10 Point Linearization Flow Rate 9
F32,3241,10 Point Linearization Flow Rate 10
F32,3240,Gas Purity Concentration (curve 4)
A22,3243,Volume Total Label
F32,3251,10 Point Linearization Correction 5
F32,3253,10 Point Linearization Correction 6
A22,3254,Volume Inventory Label
F32,3263,10 Point Linearization Current Correction 
A22,3265,Gas Standard Volume Total Label
A22,3265,Last Assert File Name
A22,3276,Gas Standard Volume Inventory Label
A22,3287,API Corrected VolumeTotal Label
A22,3298,API Corrected VolumeInventory Label
A22,3309,ED Standard Volume Total Label
A22,3320,ED Standard Volume Inventory Label
A22,3331,ED Net Mass Total Label
A22,3342,ED Net Mass Inventory Label
A22,3353,ED Net Volume Total Label
A22,3364,ED Net Volume Inventory Label
A8,3375,PVR Status Message
F32,3379,Gas Flow Rate for PVR (ETO22166)
F32,3381,Gas Total for PVR (ETO22166)
F32,3383,Mass Forward Total (Bunkering)
F32,3385,Mass Forward Inventory (Bunkering)
F32,3387,Mass Reverse Total (Bunkering)
F32,3389,Mass Reverse Inventory (Bunkering)
U32,3393,Viscosity Calibration Factor Slope
U32,3395,Viscosity Calibration Factor Offset
U16,3397,Core processor NV write count
U16,3398,Transmitter NV write count
U32,3399,Real-time clock in seconds
F32,3401,Sensor Simulator K1
F32,3403,Sensor Simulator K2
F32,3405,Sensor Simulator Flow Cal Factor
F32,3407,Sensor Simulator Density
F32,3409,Sensor Simulator Mass Flow Constant
F32,3411,Sensor Simulator Mass Flow Rate
F32,3413,Sensor Simulator Temperature
F32,3415,Sensor Simulator Delta T
F32,3417,Sensor Simulator Frequency
F32,3419,Sensor Simulator Sensor F0
U16,3421,Sensor Simulator Sensor Q
F32,3423,Sensor Simulator LPO Amplitude
F32,3425,Sensor Simulator RPO Amplitude
F32,3427,Sensor Simulator Noise Power
F32,3429,Sensor Simulator Detla T Offset
F32,3431,Sensor Simulator Density Temperature Coefficient
F32,3433,Sensor Simulator Density Meter Factor
F32,3435,Sensor Simulator Corrected Density
F32,3437,RTD Simulator Resistance
U16,3439,RTD Simulator Relay State
F32,3441,Sensor Simulator Corrected MassFlow
F32,3443,Sensor Simulator Temperature coefficient for flow  
F32,3600,Fixed Voltage for VO output (Used in conjunction with coil 348)
U16,3602,Truck ID Number  ETO15561 Only
F32,3603,Truck Tare Weight  ETO15561 Only
F32,3605,Target Weight Multiplier  ETO15561 Only
U16,3607,Batch Start Time: seconds (0-59) ETO15561 Only
U16,3608,Batch Start Time: minutes (0-59)  ETO15561 Only
U16,3609,Batch Start Time: hours (0-23) ETO15561 Only
U16,3610,Batch Start Time: day (1-31)  ETO15561 Only
U16,3611,Batch Start Time: month (1-12)  ETO15561 Only
U16,3612,Batch Start Time: year (1996-2095) ETO15561 Only
U16,3613,Batch End Time: seconds (0-59) ETO15561 Only
U16,3614,Batch End Time: minutes (0-59)  ETO15561 Only
U16,3615,Batch End Time: hours (0-23) ETO15561 Only
U16,3616,Batch End Time: day (1-31)  ETO15561 Only
U16,3617,Batch End Time: month (1-12)  ETO15561 Only
U16,3618,Batch End Time: year (1996-2095) ETO15561 Only
F32,3629,ETO32172 Meter Factor for low density setpoint
F32,3631,ETO32172 Meter Factor for high density setpoint
F32,3633,"Kinematic Viscosity Offset (ETO32819, standard as of v2.1)"
U32,3633,Last Assert Line Time
